userName,score,at,content
Pengguna Google,5,2016-08-24 00:35:30,"Tampilannya jangan seperti browser jadinya lambat mohon dirubah menjadi tampilan yang mudah dan ringan , semangat programer telkom"
Pengguna Google,5,2016-08-08 02:15:02,Ok
Pengguna Google,5,2016-07-23 18:08:36,Goooood
Pengguna Google,1,2016-07-21 03:21:20,Register nya aja kagak bisa sok sok an pake aplikasi.. Pretttt
Pengguna Google,1,2016-07-20 08:26:39,perusahaan sebesar telkom masa ga bisa bikin aplikasi yang lebih baik. masa cuman micro web doang
Pengguna Google,1,2016-07-16 02:42:16,"Speedy ny lemot, eror truz. Respon lambat."
Pengguna Google,3,2016-06-27 05:12:04,Yah oke lah
Pengguna Google,5,2016-06-26 14:52:17,tiada yg laen
Pengguna Google,4,2016-06-21 21:34:13,Semoga cepat di tanggapi keluhannya
Pengguna Google,5,2016-06-18 10:11:49,Bagus
Pengguna Google,4,2016-06-16 05:40:21,Aman dan mudah
Pengguna Google,5,2016-06-13 01:37:52,Banyak fitur seperti my telkom
Pengguna Google,3,2016-06-13 01:33:20,Tolong cepat loadingnya
Pengguna Google,5,2016-06-11 12:59:35,Trims buat telkom
Pengguna Google,5,2016-06-10 17:24:25,Mantap
Pengguna Google,1,2016-06-07 09:40:02,Indihome fiber  sy mti sdh hmpir 3 minggu tlp k 147 percuma n k pusat telkom pun sm sj blg teknisi mw dtg kgk dtg payah sngat mengecewakan!!!!
Pengguna Google,2,2016-06-06 21:26:00,"tolong di sempurnakan kembali, jika apps belum siap kalo bisa jangan terlebih dahulu di luncurkan, karena hannya malah mempersulit pelanggan."
Pengguna Google,1,2016-06-03 05:33:56,Saya cukup kecewa dgn peLayanan dari TeLkom krn sudah 1 buLan jariNgan speedy dirumahku rusak tapi pihak TeLkom bLm jg memperbaiki sampe2 saya capek meLapor
Pengguna Google,5,2016-06-03 01:38:35,Aku selalu menggunakan telkomsel sebgai andalan aku.dan tak pernah pakai yg lain kurasa aku pelanggan yg #Setia buat telkomsel
Pengguna Google,1,2016-05-29 09:30:07,"Loading lambat, nerat dan bikim macet hp. Bikin sial"
Pengguna Google,1,2016-05-13 20:11:24,Malu maluin telkom aja aplikasi ini..
Pengguna Google,1,2016-05-12 03:02:24,Aplikasi kyak kura2.. gk bermutu sama sekali. Lemot. Erorr.  Percuma install  ...
Pengguna Google,3,2016-04-29 15:45:02,ERROR LAMAN WEB TIDAK TERSEDIA 😞
Pengguna Google,5,2016-04-28 17:27:16,My telkomsel
Pengguna Google,3,2016-04-25 00:09:24,Tolong lodingnya lambat
Pengguna Google,5,2016-04-22 04:46:05,Sangat menyenangkan
Pengguna Google,5,2016-04-20 14:24:02,Ajib..
Pengguna Google,5,2016-04-19 17:55:26,Sep
Pengguna Google,5,2016-04-19 15:14:56,Bagus sekali oke
Pengguna Google,4,2016-04-18 12:17:01,"Coba dulu,kalau bagus nnti ditambahin bintangnya..."
Pengguna Google,3,2016-04-18 05:18:31,Blm bisa memberi kenyamanan
Pengguna Google,5,2016-04-18 03:56:03,mntp trus.
Pengguna Google,4,2016-04-18 03:36:42,Great....
